tweet_number,created_at,timestamp,text
159,2/14/2017 22:50:33,2/14/2017 18:50:33,"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace &amp; save healthcare for ALL Americans. 
https://t.co/glWEQ0lNR4"
160,2/15/2017 11:40:32,2/15/2017 7:40:32,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!
161,2/15/2017 12:08:12,2/15/2017 8:08:12,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.
162,2/15/2017 12:19:18,2/15/2017 8:19:18,Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia
163,2/15/2017 12:28:37,2/15/2017 8:28:37,"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA"
164,2/15/2017 12:42:20,2/15/2017 8:42:20,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?
165,2/15/2017 13:13:10,2/15/2017 9:13:10,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!"
166,2/15/2017 16:34:27,2/15/2017 12:34:27,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF
167,2/15/2017 19:17:59,2/15/2017 15:17:59,"Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!
#ICYMI🇺🇸🇮🇱Joint Press Conference: 
https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP"
168,2/15/2017 19:45:16,2/15/2017 15:45:16,"Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!
Tickets:… https://t.co/OigfXFECPp"
169,2/15/2017 21:34:05,2/15/2017 17:34:05,"Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace 
https://t.co/dmHL7xIEQv"
170,2/15/2017 23:59:26,2/15/2017 19:59:26,"Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) o… https://t.co/HhgE51dtSN"
171,2/16/2017 11:34:46,2/16/2017 7:34:46,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!
172,2/16/2017 11:58:43,2/16/2017 7:58:43,"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!"
173,2/16/2017 12:02:59,2/16/2017 8:02:59,The spotlight has finally been put on the low-life leakers! They will be caught!
174,2/16/2017 14:10:49,2/16/2017 10:10:49,"FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!"
175,2/16/2017 14:39:52,2/16/2017 10:39:52,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!"
176,2/16/2017 23:44:54,2/16/2017 19:44:54,Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh
177,2/17/2017 10:13:32,2/17/2017 6:13:32,"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!"
178,2/17/2017 11:38:20,2/17/2017 7:38:20,"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it."
